,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
1979,östersunds nya ångbryggeri,påsköl,sverige,330.0,26.1,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,mörk lager,dunkel,7.90909090909091
1980,baronen,2019,sverige,330.0,49.8,5.0,10.0,8.0,Passar till ostPassar till sällskapsdryck,ale,barley wine,15.090909090909092
1981,oude quetsche tilquin à l'ancienne,gueuzerie tilquin,belgien,375.0,105.0,,,,,syrlig öl,frukt,28.000000000000004
1982,community beer ipa,,sverige,330.0,29.9,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,india pale ale,9.06060606060606
1983,"varför så sur, herr mango?",,sverige,330.0,36.7,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,11.121212121212123
1984,golden ale,,sverige,330.0,22.9,5.0,6.0,1.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,golden/blond ale,6.939393939393939
1985,högtryck 1032 mbar,,sverige,330.0,24.9,6.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ale,amerikansk pale ale,7.545454545454546
1986,haandbryggeriet haandbakk,,norge,375.0,84.9,,,,,syrlig öl,flamländsk röd och brun öl,22.64
1987,roslagens brygghus,roslagens oktoberfest,sverige,330.0,24.9,5.0,5.0,2.0,Passar till sällskapsdryckPassar till grönsakerPassar till fågelPassar till fläsk,mellanmörk lager,märzen och wienerstil,7.545454545454546
1988,mango passion,,sverige,330.0,34.9,1.0,3.0,1.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,berliner weisse,10.575757575757576
1989,rådanäs porter,,sverige,330.0,29.9,7.0,5.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,torr porter och stout,,9.06060606060606
1990,pangpang,peach preacher,sverige,330.0,49.9,4.0,5.0,2.0,Passar till sällskapsdryck,övrig syrlig öl,,15.121212121212121
1991,wetter lacus,,sverige,330.0,29.9,5.0,5.0,1.0,Passar till sällskapsdryckPassar till fiskPassar till fågelPassar till fläsk,ale,engelsk pale ale och bitter,9.06060606060606
1992,dalabryggeri,india pale ale,sverige,330.0,24.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.545454545454546
1993,brekeriet sour & salt,,sverige,330.0,29.9,2.0,3.0,1.0,Passar till fiskPassar till skaldjurPassar till sällskapsdryck,syrlig öl,gose och lichtenhainer,9.06060606060606
1994,ocean mild,,sverige,500.0,29.3,5.0,6.0,1.0,Passar till sällskapsdryckPassar till fläskPassar till lamm,ale,mild,5.86
1995,den låga solen,bottenvikens bryggeri,sverige,330.0,29.9,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ale,saison,9.06060606060606
1996,bockhammar,russian imperial stout,sverige,330.0,39.9,7.0,9.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,12.090909090909092
1997,blacksta brygghus,rabarber ipa,sverige,330.0,33.0,5.0,4.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,india pale ale,10.0
1998,öregrund,pale ale,sverige,330.0,25.8,7.0,6.0,1.0,Passar till fågelPassar till fläskPassar till lammPassar till sällskapsdryck,,,7.818181818181818
1999,mohawk,unfiltered summer lager,sverige,330.0,29.9,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,9.06060606060606
2000,pangpang flamingo-go,,sverige,330.0,38.8,8.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,11.757575757575758
2001,coppersmith's,organic pils,sverige,330.0,19.9,6.0,6.0,1.0,Passar till sällskapsdryckPassar till fiskPassar till fågelPassar till fläsk,ljus lager,pilsner,6.030303030303029
2002,brekeriet,lusse lelle,sverige,330.0,32.9,2.0,3.0,1.0,Passar till sällskapsdryckPassar till aperitif,övrig syrlig öl,,9.969696969696969
2003,beersmiths,old school,sverige,330.0,27.6,7.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.363636363636365
2004,blå,,sverige,330.0,34.9,2.0,5.0,1.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,10.575757575757576
2005,wicked weed,vinifera,usa,500.0,105.0,,,,,övrig syrlig öl,,21.0
2006,to øl,house of pale,danmark,440.0,29.9,7.0,5.0,1.0,Passar till nötPassar till lammPassar till sällskapsdryck,ale,amerikansk pale ale,6.795454545454545
2007,vega,modern lager,sverige,330.0,26.9,6.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,8.15151515151515
2008,hop notch,hello sunshine! neipa,sverige,440.0,42.9,7.0,7.0,3.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.75
2009,pangpang,hökis ipa,sverige,440.0,49.9,7.0,7.0,3.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,india pale ale,11.34090909090909
2010,3 fonteinen,"oude kriek, 2019",belgien,750.0,199.0,,,,,syrlig öl,frukt,26.53333333333333
2011,kaleidoscope,subbe bryggeri,sverige,330.0,34.5,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.454545454545453
2012,mohawk grappa barrel-aged,baa baa barleywine,sverige,330.0,69.9,6.0,10.0,8.0,Passar till ostPassar till sällskapsdryck,ale,barley wine,21.181818181818183
2013,hop shed,kveik wheat,sverige,330.0,29.8,4.0,4.0,2.0,Passar till grönsakerPassar till kryddstarktPassar till fågelPassar till sällskapsdryck,veteöl,övrig veteöl,9.03030303030303
2014,ramble pale ale,adelsö bryggeri,sverige,330.0,24.9,6.0,7.0,2.0,Passar till sällskapsdryckPassar till fläskPassar till lamm,ale,amerikansk pale ale,7.545454545454546
2015,prins katt,tutti frukti imperial tropical fruit milkshake sour,sverige,330.0,39.9,2.0,5.0,1.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,12.090909090909092
2016,alskute farm & brewery,breakfast stout,sverige,330.0,34.6,8.0,8.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,torr porter och stout,,10.484848484848486
2017,brewmance belgian tripel,prins katts hantverksöl,sverige,330.0,39.9,5.0,8.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,trippel,12.090909090909092
2018,myrén röda,sibbetorps gård,sverige,330.0,36.7,5.0,6.0,2.0,Passar till grönsakerPassar till fläskPassar till lammPassar till sällskapsdryck,ale,amber ale,11.121212121212123
2019,strömstad stout,,sverige,330.0,22.2,6.0,7.0,1.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,torr porter och stout,,6.7272727272727275
2020,wessinge brygghus,skummeslövsstrand bryggpilsner,sverige,330.0,23.8,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ljus lager,pilsner,7.212121212121213
2021,wessinge brygghus,stout at the devil,sverige,330.0,39.2,4.0,10.0,9.0,Passar till dessertPassar till sällskapsdryck,imperial porter och stout,,11.87878787878788
2022,full moon,,sverige,330.0,35.1,5.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,ale,dubbel,10.636363636363637
2023,o/o,winter warmer,sverige,330.0,39.9,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,strong ale,12.090909090909092
2024,pangpang,strawberry preacher,sverige,330.0,49.9,2.0,5.0,2.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,15.121212121212121
2025,streaplers lager,,sverige,330.0,28.1,5.0,5.0,1.0,Passar till fiskPassar till sällskapsdryckPassar till skaldjur,ljus lager,internationell stil,8.515151515151516
2026,straight up fluff,pangpang brewery,sverige,440.0,49.9,6.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,11.34090909090909
2027,orbit,tempel brygghus,sverige,330.0,22.4,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,amerikansk pale ale,6.787878787878787
2028,carlstad bryggeri,gf,sverige,330.0,23.9,5.0,6.0,2.0,Passar till lammPassar till nötPassar till vilt,mörk lager,dunkel,7.242424242424242
2029,pivovar shenk,,slovakien,750.0,148.9,,,,,övrig syrlig öl,,19.853333333333335
2030,modern times,vanilla latte black house edition,usa,568.0,65.9,,,,,söt porter och stout,,11.60211267605634
2031,friends,double cherry cupcake sour,sverige,330.0,39.9,1.0,5.0,3.0,Passar till sällskapsdryck,syrlig öl,berliner weisse,12.090909090909092
2032,amager,batch 2000 ipa,danmark,440.0,50.9,9.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,11.568181818181818
2033,mohawk,lazy afternoon,sverige,330.0,32.9,7.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,session ipa,9.969696969696969
2034,c'mon people,,sverige,330.0,24.5,4.0,5.0,1.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,mellanmörk lager,california common,7.424242424242425
2035,parsnip & shiso,rocket brewing company,sverige,330.0,43.9,5.0,9.0,8.0,Passar till dessertPassar till sällskapsdryck,söt porter och stout,,13.303030303030303
2036,rocket brewing,oktoberfest 2197,sverige,330.0,24.9,6.0,6.0,3.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,7.545454545454546
2037,tok-olle,,sverige,500.0,31.9,6.0,7.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,engelsk pale ale och bitter,6.38
2038,baladin super bitter,,italien,330.0,26.9,6.0,8.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,belgisk mörk ale,8.15151515151515
2039,skebo,herrgårdsporter,sverige,500.0,31.3,6.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,torr porter och stout,,6.260000000000001
2040,electric nurse,dark orange skull barrel aged,sverige,330.0,70.4,7.0,9.0,7.0,Passar till sällskapsdryck,imperial porter och stout,,21.333333333333336
2041,reenstierna,lager,sverige,330.0,23.9,5.0,5.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,7.242424242424242
2042,belgisk vinteröl,,sverige,330.0,33.5,6.0,8.0,3.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,ale,belgisk mörk ale,10.151515151515152
2043,ella,brown ale,sverige,330.0,27.5,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,8.333333333333332
2044,jädraöl,gävle lager,sverige,330.0,24.9,5.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,7.545454545454546
2045,bustad brewing,bound for new england,sverige,330.0,29.9,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.06060606060606
2046,kalkskär källaröl,,sverige,500.0,30.2,6.0,6.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,zwickel,6.039999999999999
2047,geflebockens bryggeri,the rise and fall of the burning bock!,sverige,330.0,26.9,7.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,8.15151515151515
2048,bryggarbackens lager,,sverige,330.0,24.9,4.0,4.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,dortmunder och helles,7.545454545454546
2049,red ale,ryssby bryggeri,sverige,330.0,29.9,5.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,amber ale,9.06060606060606
2050,brasstacks,the conductor,sverige,330.0,29.6,8.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.96969696969697
2051,idlewild,our dancing daughters sour lemon ipa,sverige,330.0,34.9,7.0,5.0,1.0,Passar till sällskapsdryck,övrig syrlig öl,,10.575757575757576
2052,sibbarps husbryggeri,citruslager,sverige,330.0,31.0,4.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,9.393939393939393
2053,blonde bira,,sverige,330.0,29.5,4.0,5.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ale,belgisk ljus ale,8.93939393939394
2054,electric nurse,hoppy ipa,sverige,330.0,27.9,10.0,6.0,1.0,Passar till fläskPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.454545454545453
2055,ayinger,winter bock,tyskland,500.0,29.9,5.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryckPassar till grönsaker,mörk lager,dubbelbock,5.9799999999999995
2056,gamla enskede bryggeri,fågelkärrs special bitter,sverige,330.0,25.0,6.0,6.0,1.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,engelsk pale ale och bitter,7.575757575757576
2057,gamla enskede bryggeri,kvitter,sverige,330.0,26.0,5.0,5.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,session ipa,7.878787878787878
2058,brewski,rhuberry pie,sverige,330.0,48.9,2.0,5.0,1.0,Passar till sällskapsdryck,syrlig öl,berliner weisse,14.818181818181817
2059,pine ridge brewery,the delirious donkeys pale lager,sverige,330.0,20.4,6.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,6.181818181818182
2060,diamant,,sverige,330.0,25.9,7.0,5.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,amerikansk pale ale,7.848484848484848
2061,dugges lusher crusher,,sverige,330.0,35.0,5.0,8.0,3.0,Passar till fågelPassar till fläsk,ale,imperial/dubbel ipa,10.606060606060606
2062,limhamns weisse,,sverige,330.0,27.9,2.0,5.0,2.0,Passar till fiskPassar till fågelPassar till kryddstarktPassar till fläsk,veteöl,hefeweizen,8.454545454545453
2063,mohawk,in the bag,sverige,330.0,29.9,6.0,6.0,2.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,engelsk pale ale och bitter,9.06060606060606
2064,malmtåg,,sverige,330.0,29.9,5.0,5.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,mörk lager,dunkel,9.06060606060606
2065,mohawk,mareld west coast ipa,sverige,330.0,33.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.272727272727272
2066,rocket brewing company,ophelia,sverige,330.0,29.9,6.0,5.0,2.0,Passar till fiskPassar till fågelPassar till grönsakerPassar till sällskapsdryck,ale,amerikansk pale ale,9.06060606060606
2067,stigbergets,ringöbräu rauchbier,sverige,440.0,29.9,5.0,7.0,2.0,Passar till sällskapsdryckPassar till lammPassar till nötPassar till vilt,annan öl,öl av flera typer/stilar,6.795454545454545
2068,generation ipa,adelsö bryggeri,sverige,330.0,24.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.545454545454546
2069,smith street,kellerbier [sylvia],sverige,330.0,25.0,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,zwickel,7.575757575757576
2070,rocket brewing company,fire starter,sverige,330.0,34.9,2.0,5.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,veteöl,witbier,10.575757575757576
2071,rnb viggan wit,,sverige,330.0,28.0,2.0,4.0,1.0,Passar till fiskPassar till grönsakerPassar till kryddstarktPassar till sällskapsdryck,veteöl,witbier,8.484848484848486
2072,vareböke bryggeri,peachy sour,sverige,330.0,31.9,2.0,4.0,1.0,Passar till sällskapsdryck,syrlig öl,berliner weisse,9.666666666666666
2073,wit,,sverige,330.0,27.8,4.0,5.0,1.0,Passar till sällskapsdryckPassar till fiskPassar till fågelPassar till asiatiskt,veteöl,witbier,8.424242424242424
2074,all in brewing,preemyum pils hallertau extra,sverige,330.0,24.9,6.0,6.0,1.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,pilsner,7.545454545454546
2075,vareböke bryggeri,weekend session,sverige,330.0,28.9,5.0,5.0,1.0,Passar till fiskPassar till fågelPassar till grönsakerPassar till sällskapsdryck,ale,session ipa,8.757575757575758
2076,rådanäs bourbon mash beer,,sverige,330.0,29.9,5.0,7.0,3.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,strong ale,9.06060606060606
2077,prins katt,breakfast-ipa,sverige,330.0,34.9,7.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.575757575757576
2078,rådanäs alter ego,,sverige,330.0,24.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till nötPassar till sällskapsdryck,ale,altbier,7.545454545454546
2079,the hairy beaver's,smoked vanilla porter,sverige,330.0,31.5,7.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,9.545454545454547
2080,ask,pale ale,sverige,330.0,28.0,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,8.484848484848486
2081,värmdö,weisse,sverige,500.0,29.9,3.0,5.0,2.0,Passar till fiskPassar till kryddstarktPassar till grönsakerPassar till sällskapsdryck,veteöl,hefeweizen,5.9799999999999995
2082,fierce beer,big night in part one,storbritannien,440.0,64.9,6.0,7.0,7.0,Passar till dessertPassar till sällskapsdryck,ale,barley wine,14.750000000000002
2083,ollio märzen,,sverige,440.0,28.1,6.0,6.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,6.386363636363638
2084,den bryggande holländaren,c3rvdxq,sverige,330.0,36.6,3.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,övrig syrlig öl,,11.090909090909092
2085,the hairy beaver's,smoked vanilla porter,sverige,330.0,31.5,7.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,9.545454545454547
2086,ask,pale ale,sverige,330.0,28.0,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,8.484848484848486
2087,sibbarps husbryggeri hefe weissbier,sibbarps husbryggeri ab,sverige,500.0,29.9,3.0,5.0,1.0,Passar till asiatisktPassar till fiskPassar till fläskPassar till sällskapsdryck,veteöl,hefeweizen,5.9799999999999995
2088,silver,stout,sverige,330.0,38.0,5.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,söt porter och stout,,11.515151515151516
2089,hernö ulvö brown,,sverige,330.0,28.8,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,ale,brown ale,8.727272727272728
2090,achel,bruin bier,belgien,330.0,30.0,5.0,8.0,4.0,Passar till lammPassar till nötPassar till viltPassar till ost,ale,dubbel,9.090909090909092
2091,pangpang,mango habanero preacher,sverige,330.0,49.9,6.0,6.0,1.0,Passar till sällskapsdryck,övrig syrlig öl,,15.121212121212121
2092,mohawk doubleishious,,sverige,330.0,36.9,5.0,7.0,3.0,Passar till fläskPassar till fågelPassar till sällskapsdryck,ale,new england ipa/hazy ipa,11.181818181818182
2093,svartbergets fjällbryggeri,jämtsur,sverige,330.0,32.9,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,berliner weisse,9.969696969696969
2094,inglorious quad,,belgien,330.0,34.9,4.0,8.0,6.0,Passar till sällskapsdryckPassar till nötPassar till viltPassar till ost,ale,abt och kvadrupel,10.575757575757576
2095,enskede pale ale,,sverige,330.0,24.9,6.0,4.0,1.0,Passar till fläskPassar till lamm,ale,engelsk pale ale och bitter,7.545454545454546
2096,wapnö bjällra ipa,,sverige,330.0,25.4,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.696969696969696
2097,linné,brown ale,sverige,330.0,23.9,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,7.242424242424242
2098,lilla edet bryggeri,craftwerket 1926,sverige,330.0,29.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,black ipa,9.06060606060606
2099,garvarens stout,,sverige,330.0,29.9,6.0,8.0,6.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,söt porter och stout,,9.06060606060606
2100,bryggeriet stenhammaren,sundsvall porter,sverige,330.0,29.8,7.0,7.0,2.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,torr porter och stout,,9.03030303030303
2101,ålgården ale,,sverige,500.0,28.4,6.0,6.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,engelsk pale ale och bitter,5.68
2102,pangpang passion preacher,pangpang brewery,sverige,330.0,49.9,1.0,5.0,2.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,15.121212121212121
2103,lemondrop jungle,,sverige,330.0,34.9,7.0,6.0,1.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,india pale ale,10.575757575757576
2104,lilla edet bryggeri,vildlaxens hopp,sverige,330.0,32.5,7.0,8.0,4.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.848484848484848
2105,keps aberration,,sverige,330.0,39.3,5.0,9.0,8.0,Passar till dessertPassar till sällskapsdryck,imperial porter och stout,,11.909090909090908
2106,nacka belgo quad,,sverige,330.0,68.9,5.0,9.0,7.0,Passar till ostPassar till lammPassar till nötPassar till sällskapsdryck,ale,abt och kvadrupel,20.87878787878788
2107,två feta grisar,belgisk blond,sverige,330.0,27.0,4.0,4.0,2.0,Passar till fiskPassar till skaldjurPassar till kryddstarktPassar till sällskapsdryck,ale,belgisk ljus ale,8.181818181818182
2108,omaka,venice,sverige,330.0,25.9,3.0,5.0,2.0,Passar till fågelPassar till fläskPassar till kryddstarktPassar till sällskapsdryck,ale,saison,7.848484848484848
2109,einherjer,,sverige,330.0,38.1,3.0,6.0,3.0,Passar till fläskPassar till fågelPassar till grönsakerPassar till sällskapsdryck,annan öl,öl av flera typer/stilar,11.545454545454547
2110,mohawk,meet me in montauk,sverige,330.0,32.9,8.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,9.969696969696969
2111,örebro brygghus,ale,sverige,330.0,25.9,6.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,strong ale,7.848484848484848
2112,råå bryggeri,#granen,sverige,330.0,20.9,6.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,dortmunder och helles,6.333333333333332
2113,windfall,,usa,375.0,117.9,,,,,övrig syrlig öl,,31.44
2114,sour cherry,,sverige,330.0,25.0,2.0,5.0,1.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,övrig syrlig öl,,7.575757575757576
2115,american ipa,,sverige,330.0,24.9,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.545454545454546
2116,rocket brewing company,robot tourist,sverige,330.0,32.9,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.969696969696969
2117,alingsås bryggeri,star,sverige,500.0,30.4,4.0,4.0,2.0,Passar till fiskPassar till grönsakerPassar till sällskapsdryckPassar till skaldjur,ljus lager,pilsner,6.08
2118,swag bag,dipa,sverige,440.0,54.9,8.0,8.0,4.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,12.477272727272727
2119,ddh session neipa,all in brewing,sverige,330.0,33.4,8.0,7.0,1.0,Passar till sällskapsdryckPassar till grönsakerPassar till fläskPassar till lamm,ale,session ipa,10.121212121212121
2120,any new ipa,all in brewing,sverige,330.0,34.9,7.0,7.0,2.0,Passar till sällskapsdryckPassar till grönsakerPassar till fågelPassar till fläsk,ale,india pale ale,10.575757575757576
2121,no. 7,,sverige,500.0,29.5,6.0,7.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryckPassar till grönsaker,mellanmörk lager,märzen och wienerstil,5.8999999999999995
2122,la mosaic sauce,double dry hopped milkshake double ipa,sverige,330.0,39.9,8.0,8.0,4.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,12.090909090909092
2123,the pine ridge brewery,the fearsome grizzlys california common,sverige,330.0,24.7,6.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,california common,7.484848484848484
2124,boomerang,blonde ale,sverige,330.0,23.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,golden/blond ale,7.242424242424242
2125,opaque,imperial oat stout,sverige,440.0,45.1,9.0,9.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,10.25
2126,mohawk,bourbon barrel-aged obsidian,sverige,330.0,49.9,7.0,9.0,9.0,Passar till dessertPassar till sällskapsdryck,imperial porter och stout,,15.121212121212121
2127,boom boom blonde,adelsö bryggeri,sverige,330.0,23.9,6.0,6.0,1.0,Passar till sällskapsdryckPassar till fågelPassar till fläsk,ale,golden/blond ale,7.242424242424242
2128,smaland brewing,raspberry blackcurrant berliner weisse,sverige,330.0,34.9,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,berliner weisse,10.575757575757576
2129,dino sour,sibbetorps gård,sverige,330.0,28.7,2.0,5.0,1.0,Passar till sällskapsdryck,övrig syrlig öl,,8.696969696969695
2130,strandlida bryggeri,vit ale,sverige,500.0,34.6,5.0,6.0,1.0,Passar till asiatisktPassar till fiskPassar till fågelPassar till fläsk,veteöl,witbier,6.92
2131,m.a. janssons promenadporter,,sverige,500.0,33.8,5.0,5.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,porter och stout,,6.76
2132,weihenstephaner,kristall weissbier,tyskland,500.0,23.9,2.0,4.0,2.0,Passar till fiskPassar till fågelPassar till kryddstarktPassar till sällskapsdryck,veteöl,kristallweizen,4.779999999999999
2133,hoppy ipa,,sverige,330.0,30.2,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,india pale ale,9.15151515151515
2134,rock 'n' roll craft beer,marshall  amped up lager,storbritannien,330.0,19.9,7.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,6.030303030303029
2135,fyrvaktaren,bryggeriaktiebolaget nya victoria,sverige,330.0,27.9,6.0,5.0,1.0,Passar till fågelPassar till fiskPassar till fläskPassar till sällskapsdryck,ale,session ipa,8.454545454545453
2136,korpen,härjebrygg,sverige,330.0,37.6,6.0,6.0,2.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,torr porter och stout,,11.393939393939394
2137,good guys brew,bara pilsner,sverige,330.0,14.8,6.0,6.0,1.0,Passar till fiskPassar till skaldjurPassar till sällskapsdryck,ljus lager,pilsner,4.484848484848485
2138,östersunds nya ångbryggeri,modern lager,sverige,330.0,23.9,7.0,6.0,3.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,7.242424242424242
2139,myntmästarens mörka,,sverige,330.0,29.6,6.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,ale,old ale,8.96969696969697
2140,stinsens suveräna,,sverige,330.0,26.7,6.0,6.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,dortmunder och helles,8.09090909090909
