,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
91,fagerhult,export,sverige,330.0,9.4,5.0,5.0,1.0,Passar till sällskapsdryckPassar till fläskPassar till fiskPassar till grönsaker,ljus lager,dortmunder och helles,2.8484848484848486
92,carlsberg sort guld,,,330.0,12.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,3.909090909090909
93,pripps blå,export,sverige,500.0,11.7,5.0,5.0,2.0,Passar till fiskPassar till fläskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,2.34
94,fem komma tvåan,,sverige,500.0,11.9,5.0,5.0,2.0,Passar till sällskapsdryckPassar till buffématPassar till fiskPassar till fågel,ljus lager,internationell stil,2.3800000000000003
95,oppigårds amarillo,,sverige,330.0,22.0,8.0,7.0,2.0,Passar till sällskapsdryckPassar till fågelPassar till fläskPassar till grönsaker,ale,amerikansk pale ale,6.666666666666667
96,sierra nevada,pale ale,usa,355.0,23.9,8.0,7.0,1.0,Passar till grönsakerPassar till fågelPassar till fläskPassar till sällskapsdryck,ale,amerikansk pale ale,6.732394366197182
97,norrlands djup,,sverige,500.0,16.9,5.0,7.0,4.0,Passar till lammPassar till nötPassar till fläskPassar till sällskapsdryck,ljus lager,starkare lager,3.38
98,pripps extra stark,,sverige,500.0,14.5,5.0,8.0,4.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ljus lager,starkare lager,2.9000000000000004
99,eriksberg,,sverige,330.0,12.9,4.0,5.0,2.0,Passar till buffématPassar till grönsakerPassar till fiskPassar till sällskapsdryck,ljus lager,dortmunder och helles,3.909090909090909
100,nya carnegiebryggeriet,100w ipa,sverige,330.0,26.9,8.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,8.15151515151515
101,poppels bryggeri,american pale ale,sverige,330.0,23.5,7.0,6.0,1.0,Passar till fläskPassar till fågelPassar till sällskapsdryckPassar till grönsaker,ale,amerikansk pale ale,7.121212121212121
102,kona,big wave,usa,355.0,22.9,5.0,6.0,2.0,Passar till fiskPassar till fågelPassar till grönsakerPassar till sällskapsdryck,ale,golden/blond ale,6.450704225352112
103,oppigårds utah dipa,oppigårds bryggeri ab,sverige,330.0,32.5,8.0,7.0,3.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,imperial/dubbel ipa,9.848484848484848
104,pilsner urquell,,tjeckien,330.0,16.5,6.0,6.0,1.0,Passar till lammPassar till fläskPassar till fågelPassar till sällskapsdryck,ljus lager,pilsner,5.0
105,collective arts,radio the mothership imperial ipa,kanada,355.0,29.9,9.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,imperial/dubbel ipa,8.422535211267606
